# Constructed from biom file					
OTU_ID	BHBS	BPS	ISED	LBS	taxa
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18	0	0.001687289	0.00138397	0.014328358	Subgroup_18
d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7	0	0.00025565	0.000876241	0	Subgroup_7
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0	0	0.00078616	0	Christensenellaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	0	0	2.05E-05	0	Weeksellaceae
d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae	0	0.001942939	0.000761593	0	Desulfomonilaceae
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	0	0.004294918	0.003676937	0	Pirellulaceae
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae	0	0.004448308	0.002731088	0	Desulfurivibrionaceae
d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__WCHB1-02	0	0	0.000384891	0	WCHB1-02
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae	0	0	0.00103593	0	Fibrobacteraceae
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae	0	0.000971469	0.000610093	0	Sporichthyaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae	0	0.00071582	0.000290716	0	Cyclobacteriaceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae	0	0.006186727	0.000921282	0	Acidiferrobacteraceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0	0	0.000163783	0	Lachnospiraceae
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	0	0.001840679	0.004192855	0	Aeromonadaceae
d__Bacteria;p__Firmicutes;__;__;__	0.018597858	0	0.000560958	0	d__Bacteria;p__Firmicutes;__;__;__
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__PBS-18	0	0.00046017	0.000454499	0	PBS-18
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Subgroup_17;f__Subgroup_17	0	0.000971469	0.002767939	0	Subgroup_17
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae	0	0.0005113	0.00152728	0	Microscillaceae
