# Constructed from biom file									
OTU_ID	BB	BP01	BP02	BP03	LB	MC1	MC2	N_ctrl	taxa
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__BIrii41	0	0.000923873	0.001998858	0.001366328	0	0	0	0	BIrii41
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae	0	0.002771619	0.00256996	0.002884469	0	0	0	0	Acidobacteriae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;__	0	0.001293422	0.000571102	0.000607257	0	0	0	0	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;__
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0	0.002771619	0.002284409	0.000910885	0	0	0	0	Lachnospiraceae
d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__uncultured;f__uncultured	0	0.000184775	0	0.000151814	0	0	0	0	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__uncultured;f__uncultured
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae	0	0.000369549	0	0	0	0	0	0	Trueperaceae
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae	0	0.000554324	0.000856653	0.001669956	0	0	0	0	Dongiaceae
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae	0	0.001108647	0.000285551	0.000455443	0	0	0	0	Fusibacteraceae
d__Bacteria;p__Acidobacteriota;c__Subgroup_18;o__Subgroup_18;f__Subgroup_18	0	0.000184775	0.000285551	0.000303628	0	0	0	0	Subgroup_18
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__LD1-PA32;f__LD1-PA32	0	0.000369549	0.000285551	0.000607257	0	0	0	0	LD1-PA32
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae	0	0.000739098	0.003141062	0.00364354	0	0	0	0	Desulfobulbaceae
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	0	0.001293422	0.000571102	0.00182177	0	0	0	0	Bryobacteraceae
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__B122	0	0.000184775	0.001713307	0.000151814	0	0	0	0	B122
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae	0	0.001293422	0.002284409	0.004098983	0	0	0	0	Steroidobacteraceae
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae	0	0.003880266	0	0.002732655	0	0	0	0	Leptolyngbyaceae
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	0	0.009608278	0.003997716	0.018673144	0	0	0	0	Saprospiraceae
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B)	0	0.000554324	0	0	0	0	0	0	SAR324_clade(Marine_group_B)
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured	0	0.00203252	0.002284409	0.001518142	0	0	0	0	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae	0	0.002586844	0.000856653	0.000607257	0	0	0	0	Sporomusaceae
