file	percent	reads	taxon_id	taxa
BP.kaiju.out	0.005795	5292	1804993	Longimicrobiaceae
BP.kaiju.out	0.005728	5230	2498708	Candidatus Cryosericaceae
BP.kaiju.out	0.005504	5026	267892	Ferrimonadaceae
BP.kaiju.out	0.005454	4980	649777	Synergistaceae
BP.kaiju.out	0.005421	4950	742031	Salinisphaeraceae
BP.kaiju.out	0.005418	4947	1890464	Chroococcaceae
BP.kaiju.out	0.005388	4920	1553902	Oligoflexaceae
BP.kaiju.out	0.00531	4849	2831090	Blastochloridaceae
BP.kaiju.out	0.005303	4842	2810280	Coprobacillaceae
BP.kaiju.out	0.00527	4812	2805400	Actinopolymorphaceae
BP.kaiju.out	0.005262	4805	189770	Chrysiogenaceae
BP.kaiju.out	0.005261	4804	1937962	Microscillaceae
BP.kaiju.out	0.005256	4799	809	Chlamydiaceae
BP.kaiju.out	0.00525	4794	224379	Hahellaceae
BP.kaiju.out	0.00524	4785	909930	Acidaminococcaceae
BP.kaiju.out	0.005224	4770	267894	Psychromonadaceae
BP.kaiju.out	0.005184	4734	2762284	Flexibacteraceae
BP.kaiju.out	0.005166	4717	2172021	Ancalomicrobiaceae
BP.kaiju.out	0.005132	4686	2823145	Pleioneaceae
BP.kaiju.out	0.005041	4603	3039986	Nodosilineaceae
BP.kaiju.out	0.00502	4584	566277	Lentisphaeraceae
BP.kaiju.out	0.004943	4514	1191479	Magnetococcaceae
BP.kaiju.out	0.004877	4453	1524213	Vulgatibacteraceae
BP.kaiju.out	0.004851	4430	1096778	Thioalkalispiraceae
BP.kaiju.out	0.004836	4416	2811505	Dissulfurispiraceae
BP.kaiju.out	0.004827	4408	1508536	Kallotenuaceae
BP.kaiju.out	0.004817	4399	2562242	Thermoanaerobaculaceae
BP.kaiju.out	0.004804	4387	2976758	Capillimicrobiaceae
BP.kaiju.out	0.004793	4377	85020	Dermabacteraceae
BP.kaiju.out	0.004786	4370	1655514	Pelagibacteraceae
BP.kaiju.out	0.00478	4365	85019	Brevibacteriaceae
BP.kaiju.out	0.004757	4344	1890500	Hyellaceae
BP.kaiju.out	0.004756	4343	2259	Thermococcaceae
BP.kaiju.out	0.004695	4287	597359	Kiloniellaceae
BP.kaiju.out	0.004695	4287	3029087	Aminobacteriaceae
BP.kaiju.out	0.004633	4231	224027	Hydrogenothermaceae
BP.kaiju.out	0.004623	4221	2682227	Tepidiformaceae
BP.kaiju.out	0.004584	4186	449719	Granulosicoccaceae
BP.kaiju.out	0.004578	4180	361606	Patulibacteraceae
BP.kaiju.out	0.004574	4177	1798913	Microthrixaceae
BP.kaiju.out	0.004546	4151	2236	Halobacteriaceae
BP.kaiju.out	0.004525	4132	2956789	Desulfonauticaceae
BP.kaiju.out	0.004481	4092	338190	Nitrosopumilaceae
BP.kaiju.out	0.004399	4017	1331736	Ruaniaceae
